"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_9781597878173";"13";13103;1;3;605,85;1;1
"id_9781597878118";"17";17082;1;1;644,7;1;1
"id_9781597878112";"26";26008;1;1;553,8;1;1
"id_9781597878148";"19";19085;1;2;531,7;1;1
"id_9781597878107";"36";36002;1;6;577,6;1;1
"id_9781597878102";"18";18094;1;11;515,2;1;2
"id_9781597878169";"11";11055;1;1;697,15;1;1
"id_9781597878167";"16";16080;1;1;554;1;1
"id_9781597878164";"17";17089;1;1;662,85;1;1
"id_9784597878488";"44";44007;1;2;632,5;1;1
"id_9784597878481";"35";35040;1;1;613,9;1;1
"id_9784597878480";"41";41047;1;1;546,7;1;1
"id_9784597878486";"13";13024;3;1;902,614;1;1
"id_9784597878453";"55";55024;1;2;522,1;1;1
"id_9784597878413";"55";55070;1;2;619,6;1;1
"id_9784597878416";"35";35040;1;1;677,8;1;1
"id_9784597878442";"49";49008;1;3;611,45;1;1
"id_9784597878424";"30";30024;1;1;637,9;1;1
"id_9784597878438";"49";49202;1;1;499,85;1;1
"id_9784597878464";"37";37090;1;4;482,8;1;1
"id_9782597878291";"22";22090;1;1;686,75;1;1
"id_9782597878293";"39";39105;1;1;588,5;1;1
"id_9782597878252";"20";20050;1;1;656,1;1;1
"id_9782597878250";"12";12006;1;1;693,8;1;1
"id_9782597878247";"38";38032;1;1;630;1;1
"id_9782597878228";"17";17089;1;1;640,1;1;1
"id_9782597878227";"19";19052;1;1;558,8;1;1
"id_9782597878208";"14";14063;1;1;674,35;1;1
"id_9782597878267";"49";49108;1;3;506,55;1;1
"id_9783597878389";"30";30032;1;3;695;1;1
"id_9783597878387";"18";18062;1;1;575,8;1;1
"id_9783597878391";"36";36001;1;1;673,6;1;1
"id_9783597878392";"25";25038;1;1;609,55;1;1
"id_9783597878396";"30";30024;1;1;696,8;1;1
"id_9783597878352";"21";21047;1;1;594,8;1;1
"id_9783597878370";"16";16104;1;2;667,7;1;1
"id_9783597878319";"41";41086;1;1;547,45;1;1
"id_9783597878312";"12";12021;1;1;759;1;1
"id_9783597878316";"35";35006;1;3;611,5;1;1
"id_9783597878342";"27";27005;1;1;636,4;1;1
"id_9783597878334";"16";16030;1;4;649,6;1;1
"id_9783597878330";"41";41076;1;1;522,7;1;1
"id_9780597878088";"37";37023;1;1;744,2;1;1
"id_9780597878098";"35";35007;3;5;785,6;1;1
"id_9780597878097";"37";37020;1;1;609,3;1;1
"id_9780597878058";"14";14083;1;1;559,9;1;1
"id_9780597878056";"41";41005;1;1;588;1;1
"id_9780597878017";"26";26303;3;3;693,528;1;1
"id_9780597878026";"55";55047;1;11;521;1;2
